,Latitude,Longitude
0,37.75373930412252,-122.42446510914715
1,37.71221692602347,-122.47221209388567
2,37.76385804716851,-122.4257083131977
3,37.79486472178787,-122.4339601628811
4,37.71572317959631,-122.43453325711737
5,37.795072846495266,-122.43255417824325
6,37.77609726649989,-122.47287398235802
7,37.751753087180305,-122.42334681387612
8,37.77222813752745,-122.4242302554779
9,37.78183233857375,-122.4670125915887
10,37.76348351743154,-122.39892926413847
11,37.74962789821751,-122.40483839573078
12,37.76406966704509,-122.42771307501361
13,37.70976264188816,-122.4094119474706
14,37.78858366883765,-122.45605989456332
15,37.747501613850424,-122.41424996477849
16,37.74285393236269,-122.45592401082429
17,37.739950280959164,-122.47400960229506
18,37.76232303802309,-122.4164429353971
19,37.72314847236013,-122.46156132297098
20,37.739531589283786,-122.49877091250214
21,37.75165331923416,-122.42376826210572
22,37.73478907846818,-122.43749598931302
23,37.79747523458919,-122.41237504812395
24,37.719517280590175,-122.39621881658921
25,37.75170018334815,-122.41036001243563
26,37.75175818181882,-122.43553765485191
27,37.80142186043012,-122.41043681045142
28,37.79091018333658,-122.44194084397296
29,37.788251006776285,-122.42729417366931
30,37.750874293003235,-122.42019975627016
31,37.754917581981736,-122.49617151305083
32,37.727921068693504,-122.45427658459313
33,37.71472252776316,-122.44651093506079
34,37.79200775734822,-122.41338322876392
35,37.77538055221089,-122.42183214145545
36,37.729583419394125,-122.41832493855212
37,37.72495296896625,-122.41684655245997
38,37.72717881574656,-122.43526444499541
39,37.78166558325527,-122.41303088746479
40,37.7233013767472,-122.43832573639482
41,37.78756003246541,-122.4422905145443
42,37.79111662266166,-122.40646681024197
43,37.725718532336195,-122.41731963665455
44,37.77338220397483,-122.48693405698346
45,37.793322522216926,-122.44011927466477
46,37.75769721712065,-122.49890461469876
47,37.71386653199095,-122.4820033004965
48,37.784937675197405,-122.49339984976764
49,37.74981768208578,-122.42231020257755
50,37.78550709607816,-122.48495727420413
51,37.713840522327786,-122.47831780450818
52,37.78750312071268,-122.42721594171036
53,37.72232209612967,-122.44897987331159
54,37.767969543195626,-122.44696835966329
55,37.74505452278077,-122.45342694442778
56,37.7295001227611,-122.47358895375957
57,37.76202779526875,-122.50630534675497
58,37.78302241789783,-122.4878391592913
59,37.748759856664506,-122.47909939368331
60,37.78328672206265,-122.42318769112774
61,37.763410042449586,-122.47109470705826
62,37.79465726700515,-122.4223256140527
63,37.72568884866997,-122.4076668403834
64,37.73044502898004,-122.44741121999719
65,37.74692406830358,-122.49638374733705
66,37.78049761575349,-122.48306770946634
67,37.77509697050981,-122.49977321160043
68,37.79611226112988,-122.43785420520447
69,37.78034198272146,-122.48602443396878
70,37.721713606692184,-122.45119046613677
71,37.79373708318114,-122.40818227851723
72,37.71003698325767,-122.44775421722225
73,37.784079723145425,-122.412941615837
74,37.77804247164916,-122.44628305370226
75,37.760124314787014,-122.43679873195455
76,37.79065523478032,-122.4453498441299
77,37.732794505856724,-122.39176832351426
78,37.753464530469856,-122.41671967148811
79,37.7279371005387,-122.40409488468899
80,37.7920568691175,-122.43935738676885
81,37.732779782837156,-122.41169791017822
82,37.782099442622886,-122.41427284431091
83,37.792034487154346,-122.44012940196914
84,37.77074901551672,-122.44638383371583
85,37.72636357592938,-122.46397366449446
86,37.735355899710974,-122.47345228885659
87,37.763431596201954,-122.4747479655096
88,37.76833618110796,-122.41414166157222
89,37.779218018201774,-122.46759493842796
90,37.79486472178787,-122.4339601628811
91,37.786981745633966,-122.42985426498514
92,37.7850467123665,-122.42341369886272
93,37.77538055358785,-122.42183214326293
94,37.772940383408894,-122.42614485168988
95,37.793322522216926,-122.44011927466477
96,37.782818397460275,-122.45409758593303
97,37.77565696569593,-122.44173615723786
98,37.771605227885836,-122.43970400243853
99,37.78289212362178,-122.46952649156594
100,37.78183233713841,-122.46701259332268
101,37.77726227053839,-122.46884428677188
102,37.763074632457666,-122.46699013435341
103,37.75626930486458,-122.4785835463034
104,37.742513529269324,-122.47598780682557
105,37.737984658993895,-122.48625649021132
106,37.75496622931524,-122.43700787553998
107,37.76492631160918,-122.42584165977195
108,37.75046586807139,-122.39495014259383
109,37.7340400791259,-122.3842132113939
110,37.7419403908535,-122.38743201811775
111,37.71433687659617,-122.43582765008973
112,37.73067372138291,-122.47528005626279
113,37.71256684761736,-122.47356771794581
114,37.730662011056445,-122.4777211626321
115,37.77469974733477,-122.43015280315127
116,37.78135411640595,-122.43655230585085
117,37.78034198412726,-122.48602443400637
118,37.79486472178787,-122.4339601628811
119,37.74657451941129,-122.4579046863509
120,37.800648698794056,-122.45573969131463
121,37.80037517228131,-122.42572248553437
122,37.76894006604052,-122.42181627028752
123,37.75741788033304,-122.48366249199164
124,37.767152208313924,-122.40212860994058
125,37.78747112172925,-122.43594828844475
126,37.77378350831615,-122.4227147262149
127,37.74391631539864,-122.42710458726313
128,37.728019962195596,-122.44756702505663
