FACILITY_I,the_geom,FACILITY_N,DEPTNAME,DEPT,SCHOOL_TYP
3224,POINT (-122.4004791601899 37.78055488343206),"Carmichael, Bessie (6-8 Campus)",SF Unified School District (SFUSD),7,Elementary
1831,POINT (-122.40668800279214 37.77610457601532),"Carmichael, Bessie (K-5 Campus)",SF Unified School District (SFUSD),7,Elementary
3230,POINT (-122.40387545434233 37.76136330509583),Downtown High School,SF Unified School District (SFUSD),7,High School
3232,POINT (-122.39597285796937 37.76057845488164),"Webster, Daniel Elementary School",SF Unified School District (SFUSD),7,Elementary
3234,POINT (-122.40481955125531 37.75158055578977),Bryant Elementary School,SF Unified School District (SFUSD),7,Elementary
3235,POINT (-122.3992111357419 37.75323851956665),Starr King Elementary School,SF Unified School District (SFUSD),7,Elementary
3237,POINT (-122.40470068233955 37.75163100222904),Bryant Early Education School,SF Unified School District (SFUSD),7,Early Education
3238,POINT (-122.3959981658851 37.75204253529077),POTRERO NURSERY,SF Unified School District (SFUSD),7,Early Education
3245,POINT (-122.3888938004174 37.7182827590514),"Harte, Bret Elementary School",SF Unified School District (SFUSD),7,Elementary
60162,POINT (-122.38881566489567 37.73405014058969),"Havard, Leola M. Early Education School",SF Unified School District (SFUSD),7,Early Education
3250,POINT (-122.40146508984853 37.735731534653866),"Marshall, Thurgood High School",SF Unified School District (SFUSD),7,High School
3251,POINT (-122.39399537822999 37.731322072312345),"Drew, Dr. Charles R. Elementary School",SF Unified School District (SFUSD),7,Elementary
3256,POINT (-122.41315842392751 37.73726298353862),"Revere, Paul School",SF Unified School District (SFUSD),7,Elementary
3257,POINT (-122.42149816256662 37.7369845236164),"Serra, Junipero Elementary School",SF Unified School District (SFUSD),7,Elementary
3259,POINT (-122.41886225608178 37.72882231144026),Hillcrest Elementary School,SF Unified School District (SFUSD),7,Elementary
3260,POINT (-122.40546776176531 37.72770298831036),"King, Dr. Martin Luther, Jr. Middle School",SF Unified School District (SFUSD),7,Middle School
3261,POINT (-122.40746582403341 37.727679748812626),"Taylor, E. R. Elementary School",SF Unified School District (SFUSD),7,Elementary
3262,POINT (-122.43047649543261 37.72564248983121),Excelsior Monroe Early Education School,SF Unified School District (SFUSD),7,Early Education
3263,POINT (-122.43213359765731 37.72610456645008),S.F. COMMUNITY SCHOOL,SF Unified School District (SFUSD),7,Elementary
3265,POINT (-122.42525276207175 37.71924049935754),"Jordan, June High School",SF Unified School District (SFUSD),7,High School
3266,POINT (-122.42888008495392 37.7206301659639),Cleveland Elementary School,SF Unified School District (SFUSD),7,Elementary
3267,POINT (-122.40655226568997 37.7215452776853),"Burton, Phillip and Sala High School",SF Unified School District (SFUSD),7,High School
3268,POINT (-122.40729607349954 37.718421982658846),El Dorado Elementary School,SF Unified School District (SFUSD),7,Elementary
3270,POINT (-122.41240776604839 37.7156515645851),Visitacion Valley Middle School,SF Unified School District (SFUSD),7,Middle School
