,business_id,name,address,city,state,postal_code,latitude,longitude
1229,4656,STARBUCKS COFFEE,120 04TH ST ,San Francisco,CA,94103,37.784247,-122.403989
1230,4661,HAPPY DONUT,1455A MARKET ST ,San Francisco,CA,94103,37.775975,-122.418129
1231,4665,7-ELEVEN #20473,2222 TARAVAL ST ,San Francisco,CA,94116,37.742448,-122.490032
1232,4667,EMPIRE THEATRE,085 WEST PORTAL AVE ,San Francisco,CA,94127,37.739883,-122.466749
1233,4668,GOLDEN BEAR MARKET,1401 06TH AVE ,San Francisco,CA,94122,37.758941,-122.48591
1234,4670,SUNSET SUPER,2801 VICENTE ST ,San Francisco,CA,94116,37.738333,-122.49728
1235,4671,MARCO POLO ITALIAN ICE CREAM,1447 TARAVAL ST ,San Francisco,CA,94116,37.742728,-122.481566
1236,4672,IRVING SEAFOOD MARKET,2130 IRVING ST ,San Francisco,CA,94122,37.763428,-122.480921
1237,4678,ANDRE-BOUDIN BAKERIES,399 10TH AVE ,San Francisco,CA,94118,37.781139,-122.468635
1238,4681,SUBWAY,2516 NORIEGA ST ,San Francisco,CA,94122,37.753638,-122.490712
1239,4683,JAVA ON OCEAN,1700 OCEAN AVE ,San Francisco,CA,94112,37.724778,-122.460205
1240,4685,NORMAN'S LIQUOR & DELI,733 RANDOLPH ST ,San Francisco,CA,94132,37.714204,-122.469193
1241,4686,RICE GARDEN,1515 SLOAT BLVD,San Francisco,CA,94132,37.733944,-122.490438
1242,4688,MRS. FIELDS COOKIES,3251 20TH AVE 249,San Francisco,CA,94132,37.728497,-122.475639
1243,4692,FRIENDS LIQUOR,1758 FILLMORE ST ,San Francisco,CA,94115,37.785717,-122.433121
1244,4694,CONVENIENCE DELI & GROCERY,1201 LAGUNA ST ,San Francisco,CA,94115,37.782294,-122.427485
1245,4700,STEWART'S MARKET,2498 SUTTER ST ,San Francisco,CA,94115,37.785093,-122.441498
1246,4702,SHUFAT MARKET,3807 24TH ST ,San Francisco,CA,94114,37.751664,-122.427688
1247,4703,LA CANASTA TAKE-OUT,3006 BUCHANAN ST ,San Francisco,CA,94123,37.797667,-122.432196
1248,4705,GINO'S GROCERY COMPANY,2500 FILLMORE ST ,San Francisco,CA,94115,37.792598,-122.434537
1249,4706,SHERMAN MARKET,2606 FRANKLIN ST ,San Francisco,CA,94123,37.798434,-122.425566
1250,4708,GREEN STREET MARKET,1898 GREEN ST ,San Francisco,CA,94123,37.796828,-122.430234
1251,4716,MICHAELIS WINE & SPIRITS,2198 UNION ST ,San Francisco,CA,94123,37.797138,-122.435334
1252,4718,MAY FLOWER MKT.,2498 FILLMORE ST ,San Francisco,CA,94115,37.792455,-122.434474
1253,4729,PARADISE COFFEE & DONUT,453 O'FARRELL ST ,San Francisco,CA,94102,37.785846,-122.412207
1254,4732,BREAD & BUTTER MARKET,888 O'FARRELL ST ,San Francisco,CA,94109,37.785068,-122.418983
1255,4734,LUCCA DELICATESSEN,2120 CHESTNUT ST ,San Francisco,CA,94123,37.800568,-122.438354
1256,4739,LEE'S DELI,525 MARKET ST ,San Francisco,CA,94105,37.790697,-122.399563
1257,4746,LEE'S DELI,170 SPEAR ST ,San Francisco,CA,94105,37.791588,-122.39292
1258,4753,TAN'S CAFE III,155 FRANCISCO ST ,San Francisco,CA,94133,37.805286,-122.408075
1259,4754,NEW RUSSIAN HILL MARKET,1198 PACIFIC AVE ,San Francisco,CA,94133,37.795951,-122.414986
1260,4755,AUNT FANNY'S HOT PRETZELS,PIER 39  LOT 12,San Francisco,CA,94133,37.802479,-122.411234
1261,4762,CHOWDER HUT,2890 TAYLOR ST ,San Francisco,CA,94133,37.808616,-122.415779
1262,4774,BAYSIDE MARKET,120 BRANNAN ST ,San Francisco,CA,94107,37.78416,-122.389239
