fare_id,route_id,origin_id,destination_id,contains_id
1,11047,,,
1,1033,,,
1,1034,,,
1,1031,,,
1,1032,,,
1,1038,,,
1,1039,,,
1,1005,,,
1,1055,,,
1,11052,,,
1,1071,,,
1,1072,,,
1,11054,,,
1,1110,,,
1,1108,,,
1,1109,,,
1,1900,,,
1,1901,,,
1,11057,,,
1,11058,,,
1,11059,,,
1,11060,,,
1,11061,,,
1,11062,,,
1,11063,,,
1,11064,,,
1,11065,,,
1,11066,,,
1,11067,,,
1,11068,,,
1,11069,,,
1,11070,,,
1,11071,,,
1,11072,,,
1,1030,,,
1,1045,,,
1,11074,,,
1,11075,,,
1,11076,,,
1,11077,,,
1,11078,,,
1,11079,,,
1,11080,,,
1,11081,,,
1,11082,,,
1,11083,,,
1,11084,,,
1,11085,,,
1,11087,,,
1,11088,,,
1,11089,,,
1,11090,,,
1,11091,,,
1,11092,,,
1,11093,,,
1,11094,,,
2,1059,,,
2,1060,,,
2,11097,,,
1,11098,,,
1,11099,,,
1,11100,,,
1,1081,,,
1,1082,,,
1,11102,,,
1,11103,,,
1,11105,,,
1,11106,,,
1,11107,,,
1,1102,,,
1,1103,,,
1,1104,,,
1,1105,,,
1,1106,,,
1,11111,,,
1,11121,,,
1,11358,,,
1,11359,,,
1,11396,,,
1,11397,,,
1,11398,,,
1,11401,,,
1,11404,,,
