tract_id,hispanic,white,black,american_indian,asian,pac_islander,other_races,two_races
6075021500,21.2,64.3,2.0,0.0,11.1,0.0,0.0,1.4
6075021600,14.2,55.3,12.2,0.0,15.0,1.0,0.5,1.8
6075021700,13.0,58.3,4.9,1.4,18.2,0.0,0.0,4.2
6075021800,13.4,72.4,0.3,0.0,9.8,0.0,0.4,3.6
6075022600,5.4,61.2,6.3,3.3,21.2,0.0,0.9,1.8
6075022702,12.4,70.3,0.0,0.0,12.4,0.0,0.0,4.9
6075022704,5.2,78.8,0.5,0.0,11.2,0.0,0.8,3.5
6075022801,39.8,45.2,3.0,0.0,8.8,0.0,0.8,2.5
6075022802,35.8,37.8,1.6,0.8,22.5,0.0,0.0,1.5
6075022803,57.3,27.0,0.5,0.0,13.3,0.0,0.0,1.9
6075022901,46.8,31.9,5.9,0.0,14.5,0.0,0.0,0.9
6075022902,67.2,17.5,4.2,0.0,9.5,0.0,0.0,1.6
6075022903,48.8,31.9,1.7,0.0,14.1,0.0,0.0,3.5
6075023001,22.5,6.2,21.5,1.2,47.5,0.0,0.0,1.2
6075023003,14.3,7.7,31.4,0.0,44.4,0.0,0.0,2.1
6075023102,19.1,2.6,64.9,0.0,11.3,1.1,0.0,1.0
6075023103,9.1,7.8,64.9,0.8,4.3,8.7,0.0,4.2
6075023200,38.7,4.8,44.1,0.0,11.6,0.0,0.0,0.8
6075023300,17.6,3.7,17.2,0.0,59.9,0.0,0.0,1.7
6075023400,54.9,6.9,18.8,0.0,15.8,1.3,0.8,1.5
6075025100,8.5,70.7,3.1,0.0,12.6,0.0,0.6,4.6
6075025200,26.6,52.3,6.0,0.3,11.9,0.4,0.8,1.8
6075025300,37.3,47.6,5.1,0.1,7.4,0.3,0.0,2.1
6075025401,40.4,36.7,2.5,0.0,15.5,0.6,0.0,4.3
6075025402,16.0,48.1,2.3,0.0,29.6,3.7,0.0,0.4
6075025403,42.9,23.5,7.8,1.1,20.7,0.0,0.2,3.8
6075025500,32.2,25.9,0.7,0.6,38.4,0.0,0.3,1.9
6075025600,17.6,14.0,0.9,0.0,60.1,0.3,4.4,2.6
6075025701,14.5,21.0,0.8,0.0,63.2,0.0,0.0,0.5
6075025702,19.2,16.1,2.8,0.0,59.0,0.0,0.0,2.9
6075025800,20.9,12.2,2.0,0.4,63.0,1.0,0.0,0.4
6075025900,18.7,21.6,13.1,0.0,43.8,0.0,0.0,2.9
6075026001,41.6,16.3,0.8,0.0,40.8,0.2,0.0,0.2
6075026002,26.8,36.3,3.1,0.1,33.2,0.0,0.0,0.5
6075026003,59.3,12.9,1.0,0.5,26.1,0.0,0.0,0.2
6075026004,37.4,14.0,0.2,0.1,47.4,0.0,0.0,0.8
6075026100,19.0,16.8,0.5,0.5,61.4,0.6,0.0,1.2
6075026200,33.3,8.6,2.2,0.1,54.5,0.0,0.3,0.9
6075026301,21.8,15.2,0.0,0.0,60.9,0.0,0.0,2.1
6075026302,24.9,20.3,5.4,0.0,44.6,2.5,0.3,2.0
6075026303,26.9,9.6,2.6,0.0,55.7,4.7,0.0,0.5
6075026401,15.9,1.6,11.1,0.0,69.9,0.4,0.0,1.1
6075026402,10.8,15.2,16.5,0.6,54.5,0.0,0.0,2.5
6075026403,11.9,3.8,4.0,0.1,79.8,0.0,0.0,0.4
6075026404,13.4,1.4,16.2,0.0,65.9,1.5,0.0,1.6
6075030101,7.4,62.6,0.0,0.0,21.2,0.0,2.3,6.4
6075030102,4.8,62.6,1.5,1.3,22.1,0.4,1.2,6.1
6075030201,7.0,47.8,0.6,0.5,39.8,1.1,0.6,2.6
6075030202,4.5,63.7,3.2,0.0,23.2,0.0,0.2,5.1
6075030301,5.9,42.1,1.9,1.5,46.7,0.0,0.3,1.6
6075030302,7.0,47.6,0.3,0.7,42.4,0.0,0.0,2.0
6075030400,4.1,49.7,0.3,0.0,39.8,0.0,2.3,3.8
6075030500,13.4,44.5,9.0,0.0,29.5,0.5,0.0,3.2
6075030600,7.7,70.2,0.7,0.0,19.8,0.0,0.0,1.6
6075030700,10.7,55.6,1.0,0.1,26.6,0.0,0.9,4.9
6075030800,9.7,50.7,0.0,0.0,35.7,0.2,1.2,2.6
6075030900,5.0,49.3,2.5,0.0,40.8,0.2,0.0,2.1
6075031000,10.8,52.8,2.7,0.0,29.8,0.0,1.0,2.9
6075031100,20.2,39.4,3.9,0.5,33.6,0.0,0.7,1.8
6075031201,26.3,12.4,5.3,0.0,52.8,0.4,0.1,2.8
6075031202,14.9,11.7,17.4,0.0,54.1,0.0,0.0,1.8
6075031301,17.0,20.2,16.4,0.0,40.8,0.0,0.0,5.6
6075031302,11.9,13.9,20.7,0.0,50.4,0.0,0.0,3.1
6075031400,22.5,7.7,24.6,0.0,42.9,0.0,0.0,2.4
6075032601,2.4,36.8,0.3,0.5,56.9,0.0,1.0,2.1
6075032602,1.7,25.6,0.0,0.0,70.1,0.0,0.0,2.6
6075032700,4.4,35.6,0.3,0.0,55.4,0.1,0.0,4.1
6075032801,3.7,32.9,0.5,0.0,61.1,0.0,0.0,1.8
6075032802,2.7,27.4,2.0,0.0,64.6,0.0,0.0,3.3
6075032901,13.6,23.0,1.8,0.0,59.9,0.0,0.0,1.7
6075032902,3.0,28.7,0.0,0.2,67.3,0.0,0.0,0.9
6075033000,9.8,39.3,1.9,0.0,46.7,0.8,0.0,1.5
6075033100,4.9,36.6,0.0,0.0,56.3,0.0,0.0,2.1
6075033201,12.0,50.9,10.0,0.0,22.5,0.0,0.0,4.6
6075033203,12.0,43.2,4.7,0.1,30.7,2.7,4.1,2.5
6075033204,15.1,35.4,8.3,0.3,36.6,0.0,0.4,3.9
6075035100,3.1,31.5,0.0,0.0,59.8,0.0,0.0,5.6
6075035201,5.0,32.7,0.1,0.1,57.5,3.0,0.0,1.6
6075035202,6.8,44.4,1.4,0.0,42.4,0.7,0.2,3.9
6075035300,5.4,25.3,0.0,0.0,66.2,0.0,0.0,3.2
6075035400,4.4,42.0,0.8,0.0,46.1,3.6,0.0,3.2
6075040100,8.8,45.3,7.8,1.6,31.5,0.0,1.7,3.4
6075040200,8.0,40.5,0.7,0.2,46.6,0.0,0.3,3.7
6075042601,4.7,38.6,1.4,0.0,46.5,0.3,0.3,8.2
6075042602,2.6,46.8,1.9,0.0,45.6,1.7,0.0,1.4
6075042700,10.9,47.8,0.3,0.0,37.9,0.8,0.8,1.6
6075042800,6.3,69.9,0.6,0.0,17.7,0.8,0.0,4.6
6075045100,5.5,39.9,1.6,0.0,49.1,0.0,0.8,3.1
6075045200,5.0,40.7,0.6,0.3,46.5,0.8,0.7,5.3
6075047600,5.5,41.1,0.3,0.0,50.4,0.3,0.3,2.2
6075047701,12.1,28.4,1.8,0.4,49.6,1.7,0.0,6.0
6075047702,3.3,40.9,0.7,0.1,51.2,0.0,1.6,2.1
6075047801,4.5,37.3,1.3,0.0,50.5,0.3,0.7,5.4
