tract,hh_type1_h,hh_type1_t
6081609800,31.51656,14.79508
6081609900,31.2193,14.90859
6081610000,34.3773,12.72616
6081610100,26.72916,12.31081
6081610201,28.49223,11.01219
6081610202,20.37026,11.06023
6081610203,27.744,10.46916
6081610302,29.88127,14.1782
6081610303,31.79163,13.73205
6081610304,30.85175,14.1993
6081610400,27.63594,12.88589
6081610500,28.23674,12.95043
6081610601,23.79986,11.67692
6081610602,28.44436,14.24912
6081610700,26.23534,12.30204
6081610800,27.85003,10.7074
6081610900,28.55341,12.00087
6081611000,26.5767,12.86873
6081611100,31.41245,15.41402
6081611200,29.82862,15.16617
6081611300,29.37043,14.2984
6081611400,37.50967,17.23608
6081611500,34.60936,16.42309
6081611600,29.77977,14.87824
6081611700,26.63637,13.55358
6081611800,26.96894,15.08301
6081611900,29.56001,14.49249
6081612000,25.3308,13.55612
6081612100,25.29163,11.01577
6081612500,30.09843,12.74787
6081612600,23.34513,11.83438
6081612700,33.46055,15.86037
6081612800,34.50828,15.88698
6081612900,31.43075,14.61623
6081613000,33.06529,14.60915
6081613200,42.47452,16.87364
6081613300,42.35111,17.23235
6081613400,35.56915,17.52259
6081613501,29.30485,16.31751
6081613502,28.90504,16.79717
6081613600,30.37349,16.91218
6081613700,29.48563,15.7933
6081613800,30.83981,17.33643
6081613900,33.29275,14.10799
6081614000,30.20124,15.2588
