tract,hh_type1_h,hh_type1_t
6001432200,29.00119,12.8464
6001432300,29.88072,13.21801
6001432400,28.12337,14.08317
6001432501,29.84279,13.37512
6001432502,27.455,13.07789
6001432600,26.58593,11.40537
6001432700,30.06028,14.09985
6001432800,31.25163,15.45356
6001433000,29.28709,14.16318
6001433102,29.896,14.00316
6001433103,25.06792,11.15797
6001433104,29.56938,11.41979
6001433200,28.44591,12.75226
6001433300,30.62653,14.41998
6001433400,32.04527,14.3784
6001433500,30.34729,14.6209
6001433600,27.7846,13.24544
6001433700,27.36507,12.83963
6001433800,27.74221,12.73487
6001433900,27.05826,11.66207
6001434000,29.02547,12.51613
6001435102,31.37746,15.66122
6001435103,33.7783,17.23054
6001435104,28.17209,12.65612
6001435200,29.70255,15.64265
6001435300,26.58707,13.26864
6001435400,24.47048,11.65963
6001435500,27.70561,12.16676
6001435601,25.4526,12.34614
6001435602,26.15303,13.0648
6001435700,29.47066,14.05618
6001435800,30.03918,14.64141
6001435900,30.22612,14.90117
6001436000,30.01244,14.97287
6001436100,30.07325,13.51547
6001436200,26.73786,11.54445
6001436300,28.30509,12.35792
6001436401,29.42373,13.85693
6001436402,32.50809,16.72598
6001436500,28.91378,12.46359
6001436601,26.82597,12.79198
6001436602,24.55295,11.83516
6001436700,27.48742,13.10798
6001436800,30.13759,12.98775
6001436900,27.79091,12.72904
6001437000,30.48881,13.91908
6001437101,32.87752,15.4447
6001437102,29.81833,12.66625
6001437200,28.91955,13.49406
6001437300,27.47581,13.5175
6001437400,30.27511,14.65449
6001437500,26.39174,12.09411
6001437600,28.97952,13.33894
6001437701,27.61862,12.0066
6001437702,25.82228,11.22204
6001437800,30.31829,14.73518
6001437900,28.54394,12.51359
6001438000,30.52395,15.01737
6001438100,30.32176,14.65734
6001438201,30.64355,13.93062
6001438203,30.69526,14.69275
6001438204,31.65698,13.66015
6001438300,29.23305,14.60956
6001438400,31.14646,15.043
6001440100,27.02772,15.0283
6001440200,28.34744,13.33423
6001440301,30.25127,14.39129
6001440304,29.12196,13.51036
6001440305,30.28634,15.33166
6001440306,30.90366,13.65969
6001440307,31.1399,13.58849
6001440308,31.04141,13.60644
6001440331,29.03553,13.86861
6001440332,34.37337,16.33989
6001440333,32.92963,15.48498
6001440334,31.01179,14.65309
6001440335,33.89838,14.20279
6001440336,29.75201,13.221
6001441100,31.15763,15.71687
6001441200,30.3843,14.48673
6001441301,30.54923,13.74099
6001441302,29.19643,15.00327
6001441401,29.35173,14.04941
6001441402,31.12632,14.76796
6001441501,31.34789,15.66048
6001441503,31.88409,14.91237
6001441521,30.46261,14.99787
6001441522,31.21169,14.80828
6001441523,30.69778,12.07085
6001441524,31.87063,13.65164
6001441601,30.35479,15.04799
6001441602,28.80275,13.48532
6001441700,29.10407,13.25484
6001441800,29.7799,13.38029
6001441921,24.59685,12.08903
6001441923,29.30557,10.54751
6001441924,28.54308,12.96401
6001441925,25.48257,11.53443
6001441926,28.61551,10.98519
6001441927,27.71744,10.94201
6001442000,34.88341,16.79751
6001442100,31.42847,15.13136
6001442200,31.48647,15.3816
6001442301,29.22646,13.72969
6001442302,26.28709,11.69801
6001442400,29.49632,14.33273
6001442500,29.93401,13.80776
6001442601,30.73268,14.54086
6001442602,30.11665,13.42591
6001442700,31.71474,14.67001
6001442800,29.87325,14.55782
6001442900,30.67789,14.25699
6001443001,29.47065,14.52763
6001443002,30.8426,14.16406
6001443102,35.62649,15.6336
6001443103,34.62529,16.8856
6001443104,32.67018,14.67153
6001443105,34.17879,15.81037
6001443200,44.87064,17.2471
6001443301,31.29562,15.6267
6001443321,26.54575,11.94058
6001443322,30.34254,15.12077
6001444100,29.72684,15.05676
6001444200,30.34353,14.68107
6001444301,28.40558,15.10404
6001444302,26.88522,14.74065
6001444400,29.49967,13.69818
6001444500,26.56331,13.43476
6001444601,30.53411,15.42143
6001444602,30.81039,13.94935
6001450101,35.04449,12.52986
6001450102,31.24661,15.11425
6001450200,28.77589,12.5962
6001450300,30.95589,14.93649
6001450400,29.55436,14.7571
6001450501,31.98944,13.94155
6001450502,35.13578,16.74874
6001450601,33.78326,17.38797
6001450602,34.22709,14.87123
6001450603,34.90699,15.71705
6001450604,34.89665,15.00881
6001450605,30.50073,14.589
6001450606,33.34999,15.67896
6001450607,29.56967,13.17313
6001450701,38.85836,17.43432
6001450741,28.62252,14.2714
6001450742,31.18731,15.53534
6001450743,33.06193,12.12457
6001450744,33.11092,15.73467
6001450745,31.98065,15.28213
6001450746,30.70506,14.82009
6001450750,27.32288,13.09699
6001450751,34.9818,17.06032
6001450752,41.44511,17.56071
6001451101,33.03011,16.83517
6001451102,39.70979,17.30867
6001451201,28.8452,15.01707
6001451202,29.72631,17.04656
6001451300,30.60536,15.90425
6001451401,30.94834,14.69793
6001451403,29.76067,15.0252
6001451404,27.79721,13.43162
6001451501,28.49189,15.16551
6001451503,30.1537,14.93431
6001451504,31.59695,16.1667
6001451505,37.3712,16.1705
6001451506,25.93122,13.84526
6001451601,31.08744,15.39353
6001451602,27.77769,14.21601
6001451701,30.24761,15.64617
