,tractid,pct_bachelors,poverty_rate,labor_part_rate,pct_unemploy,pct_welfare,low_pov_idx,labor_idx,env_health_idx,trans_cost_idx,trips_idx,latitude,longitude,hispanic,white,black,american_indian,asian,pac_islander,other_races,two_races,housing_cost,transportation_cost,pub_school_score,pr_school_score,rest_score,rest_proximity
25,6075012501,0.214079422,0.399325774,0.503696402,0.282852564,0.122470161,4,1,10,99,98,37.783016,-122.4109765,16.4,33.8,15.7,1.7,29.2,0.6,0,2.6,19.39721,6.51308,0.153382188,0.193110625,90.66797882,91.48323207
26,6075012502,0.176954733,0.393195944,0.485078994,0.177325581,0.125283704,4,2,14,99,99,37.783933,-122.4125954,6.9,25.4,15.5,0,48.5,1.2,0,2.4,15.85067,5.53193,0.153375953,0.193101628,90.61829618,90.3713915
27,6075012601,0.864738806,0.027550581,0.878113408,0.068689182,0.012676056,88,99,15,99,97,37.8022695,-122.4391478,5.4,84.1,0,1.3,6.4,0,0,2.9,35.37972,9.1541,0.153265616,0.192949319,90.05144938,13.68379205
28,6075012602,0.828699552,0.052371917,0.885068762,0.016189962,0.00852459,74,99,12,98,94,37.806476,-122.4356807,4.5,85.5,0,0,7.2,0,0,2.9,34.17123,10.45066,0.153263812,0.192959622,90.09517057,12.73884985
29,6075012700,0.769204507,0.07525587,0.930019881,0.0578883,0.013267813,62,99,4,99,96,37.8049898,-122.4447181,5.9,81.9,0,0,11.4,0,0,0.7,36.26586,9.7143,0.153245242,0.192919012,90.00541211,8.200101082
30,6075012800,0.786456787,0.0385,0.908356742,0.05773913,0,82,99,4,99,96,37.7978099,-122.4417466,4.3,78,3.1,0.5,10,0,0,4.1,36.29063,10.02573,0.153270178,0.192943492,90.02191748,14.9478391
31,6075012901,0.739906103,0.048267809,0.899682252,0.046259843,0.019463087,76,99,10,99,97,37.8019611,-122.427246,5.4,80.8,1.1,0.3,6.3,5.1,0,0.9,30.9018,8.83477,0.15329564,0.193006096,90.21942868,29.51290649
32,6075012902,0.761020882,0.024032825,0.956459158,0.057265569,0,90,99,8,99,97,37.8006155,-122.4321032,7.4,77.8,0,0,13.3,0,1.1,0.4,33.02514,9.05574,0.153287,0.19298506,90.14136221,22.387811
33,6075013000,0.82327336,0.040654699,0.941038526,0.063959391,0,81,99,5,99,97,37.7972449,-122.4305121,7.3,78.6,0,0.3,11.7,0,0,2.2,37.50681,9.37311,0.15329919,0.192997483,90.17044308,29.46105683
34,6075013101,0.810329475,0.029477197,0.922475349,0.010730357,0.015741508,87,99,7,99,98,37.7937758,-122.4247493,3.5,76.7,0,0,17.6,0,0,2.2,37.6021,8.08225,0.153321882,0.193029797,90.28427663,51.9515335
35,6075013102,0.8175,0.023979957,0.858961802,0.041372351,0.019076923,90,99,11,99,97,37.7926193,-122.4274293,6.6,78.2,3.9,0.3,8.7,0,0,2.4,37.59497,9.21577,0.153318131,0.193018789,90.23643596,43.66634673
36,6075013200,0.792542753,0.027641931,0.792235047,0.071261682,0.011940299,88,94,8,99,97,37.7936676,-122.4387455,4.2,80.5,0.5,0.2,10.8,0,1.2,2.6,41.0243,10.20218,0.15328773,0.192963706,90.05922944,20.40815881
37,6075013300,0.747855918,0.021085925,0.800572519,0.039584364,0.012987013,92,96,10,98,95,37.7887307,-122.4524293,3.4,79.4,0.9,0,11.2,0.3,0,4.7,41.17629,11.08217,0.153266215,0.192906113,89.88399481,13.72626723
38,6075013400,0.842465753,0.059025609,0.903500898,0.009413778,0,70,99,8,99,96,37.789849,-122.440799,5.7,81.4,4.9,0,5.3,0,0,2.7,35.68215,9.66443,0.15329206,0.192959528,90.04092748,20.62967678
39,6075013500,0.838546069,0.069193964,0.858375635,0.067945206,0,65,98,9,99,97,37.7908976,-122.4325551,6.9,76.8,1.3,0,13.2,0,0.4,1.4,35.55671,8.85832,0.153309755,0.192997025,90.15409703,30.49377887
40,6075015100,0.668686869,0.029683698,0.934065934,0.053670087,0.012755102,87,98,2,99,97,37.7874457,-122.4234011,6.7,62.2,1.1,0,26.7,0,0.4,3,35.22174,8.09376,0.153340745,0.193045368,90.33908523,60.44145257
41,6075015200,0.691190108,0.081621622,0.919354839,0.02685624,0.013918178,59,99,8,99,97,37.7879139,-122.4302666,7.5,69.9,1.5,0,20.4,0,0,0.7,35.70921,8.56188,0.153322711,0.193012188,90.20454397,37.18727006
42,6075015300,0.676691729,0.040786241,0.877225292,0.079436259,0.024948025,81,94,10,99,95,37.7867618,-122.4393346,9.1,61.6,15,0,12.9,0,0,1.4,37.30618,10.01394,0.153303243,0.192970938,90.06986571,23.29843893
43,6075015400,0.735733099,0.027148508,0.86122339,0.05887372,0.012876991,88,97,11,98,96,37.7843608,-122.4510358,7.3,60.8,2.8,0,25.7,0,0.2,3.3,35.24775,10.18425,0.153280375,0.192919045,89.89440873,15.66292197
44,6075015500,0.484099943,0.092326733,0.661757938,0.081130916,0.043168669,54,46,8,99,97,37.7850923,-122.434135,14.6,40.6,6.6,0.3,36.5,0,0.7,0.6,28.18291,8.19765,0.153320129,0.192997971,90.15496257,29.97872691
45,6075015600,0.622734761,0.046779417,0.894865526,0.044994944,0.018714402,77,97,19,98,96,37.7782427,-122.4564254,4.3,47.7,4.1,0,36.2,1,0,6.7,31.78474,10.16844,0.153282157,0.192902414,89.7362653,14.63647719
46,6075015700,0.642905944,0.058458355,0.770678439,0.055116332,0.023312883,71,86,11,98,95,37.7789154,-122.4480069,13.2,50.3,4.9,0,27,0.5,0.2,4,32.5708,10.03177,0.153301197,0.192941277,89.95100498,17.46922413
47,6075015801,0.581033813,0.16723129,0.838412189,0.080413297,0.033088235,29,85,17,99,96,37.7813029,-122.4373557,8.2,49.7,28.9,0,11.2,0,0,2,32.09936,9.12781,0.153321518,0.192988224,90.12685447,26.22670794
48,6075015802,0.601398601,0.081218274,0.850254984,0.049921177,0.091032609,59,93,19,99,97,37.778079,-122.4385023,7.1,52.3,29.3,0,10.2,0.4,0,0.7,35.32219,8.7845,0.153326619,0.192987474,90.13029207,24.52094228
49,6075015900,0.544012945,0.090469279,0.739622642,0.052728106,0,55,75,9,99,98,37.78334,-122.4293428,11.3,38.2,15.3,0.2,32.1,0,0,2.8,33.39419,8.31616,0.153336218,0.193023198,90.24693137,39.39772378
50,6075016000,0.558748076,0.051884701,0.886333771,0.041558442,0,74,95,2,99,97,37.7823363,-122.4224838,10.2,49.9,2.2,0.3,28.8,0,0.5,8.1,29.68722,7.90179,0.153355552,0.193057126,90.39017561,59.79015408
51,6075016100,0.374207188,0.178563727,0.659983633,0.075970737,0.061585835,26,36,8,99,97,37.7799831,-122.4286631,15.2,26.5,36.4,0.4,18.2,0,0.8,2.4,22.77077,8.41543,0.153346136,0.193031287,90.28412217,39.3847521
52,6075016200,0.637055838,0.089380531,0.861349036,0.098550725,0.015086207,55,88,2,99,96,37.777158,-122.4228856,12.3,62.7,3.8,0,15.5,0.5,1.3,3.8,31.36011,8.49657,0.153367285,0.193062739,90.42379859,50.64244292
53,6075016300,0.600056449,0.158536585,0.799708455,0.126247987,0.035639413,31,69,9,99,97,37.7760456,-122.4295509,11,51.5,22.7,0,10.8,0,1,3.1,34.34708,8.68712,0.153353626,0.193032797,90.30339262,35.45463299
54,6075016400,0.623768669,0.040615028,0.88368892,0.045833333,0,81,96,9,99,96,37.7750995,-122.4369729,13.8,55.7,14.1,0,13.2,0,0,3.2,35.10158,9.22861,0.1533377,0.192999036,90.18140036,25.39536271
55,6075016500,0.699619772,0.072916667,0.871001573,0.072543353,0.068904594,63,95,11,99,97,37.7741958,-122.4477884,13.9,66,3.5,0.8,8.5,0.2,2.3,4.7,36.36156,9.37543,0.15331333,0.192949155,89.96462202,16.79690572
56,6075016600,0.692209124,0.08805395,0.862801241,0.05346636,0.013714734,56,96,13,99,97,37.7704942,-122.4474539,7,73.4,7.2,0.1,6.7,1.5,0.2,3.9,34.6145,9.28814,0.153323247,0.192956107,89.98547897,15.82980642
57,6075016700,0.626801517,0.109052183,0.880134332,0.048589779,0.006977758,47,96,9,99,97,37.7703481,-122.4377358,12.5,61.8,8.6,0,12.6,0,0.3,4.2,32.33167,9.53539,0.153347498,0.193002317,90.21544129,22.84053605
58,6075016801,0.601086535,0.039747634,0.887394312,0.025760135,0.009785933,81,97,13,99,97,37.7713294,-122.4290086,10.3,60.1,12,0,10.1,0,1.7,5.8,35.41354,8.89789,0.153366547,0.193042207,90.36635283,33.70194657
59,6075016802,0.543223858,0.095223228,0.85168447,0.025881303,0.010372178,53,94,13,99,96,37.7735403,-122.4249293,14.8,49.9,18.1,0,13.1,0,0,4.1,32.17271,8.42663,0.153371147,0.193058313,90.41866305,40.95404773
60,6075016900,0.653271338,0.048999104,0.907388137,0.058953574,0.005730659,76,97,9,99,97,37.7670961,-122.4324782,5.9,79.5,3.3,0,7.9,0.5,0,2.9,35.46242,9.47533,0.153368417,0.193031923,90.35860823,27.38040616
61,6075017000,0.808042727,0.077554486,0.854896355,0.045546151,0,61,98,10,98,96,37.7648874,-122.4394975,9.7,72.9,4.1,0,10.1,0,0,3.2,34.91459,10.3962,0.153356585,0.193001897,90.24220562,18.82731941
62,6075017101,0.792089605,0.021758051,0.855122324,0.058080808,0.009378664,91,98,24,99,96,37.7657245,-122.4460837,10,70.4,6.9,0,5.7,0,0.6,6.4,36.5097,10.10113,0.153338335,0.192969508,90.05276127,14.43062986
63,6075017102,0.792675724,0.070027316,0.857928506,0.037123746,0.006908463,64,99,24,99,97,37.7654353,-122.4504754,7.8,79.1,4.7,0,5.3,0,0.2,2.8,35.81041,9.95792,0.15332825,0.192949142,89.90052055,12.58037994
64,6075017601,0.291959578,0.185022026,0.670765661,0.058675079,0.065986611,25,35,5,99,97,37.7794338,-122.4107241,10.7,26.6,15.7,0.3,39.8,3.3,0.8,2.7,25.74962,7.91471,0.153391609,0.19311702,90.70144962,82.89124879
65,6075017700,0.452875399,0.116938342,0.909175162,0.022542831,0,44,95,2,99,87,37.7680392,-122.4124868,33.9,53.3,2.8,0.4,9.6,0,0,0,28.25401,9.97237,0.153415268,0.193125212,90.76679396,44.2010272
66,6075017801,0.441852245,0.177846577,0.88034188,0.028099174,0.033203125,26,91,12,99,98,37.7820284,-122.4011589,2.8,28.9,3.2,0.2,62.1,0,0,2.8,24.58612,7.98002,0.153408768,0.193158551,90.96059133,88.10704416
67,6075017802,0.444844517,0.301817224,0.628459785,0.055420515,0.032194481,9,44,10,99,94,37.7760649,-122.4087033,7.9,50.6,11.4,0.3,25.8,0,0.6,3.3,36.39075,9.29793,0.153404857,0.19313148,90.78599071,73.64773638
68,6075017902,0.342736248,0.125430398,0.779576588,0.125577812,0.075153374,41,38,10,93,83,37.8619483,-122.419701,13,49,20.9,0,15.8,0,0.6,0.7,23.04134,12.44111,0.153166979,0.192954661,90.61523881,0
69,6075018000,0.428131417,0.1940545,0.582041344,0.106527415,0,23,21,1,99,91,37.7753304,-122.4022764,16.5,40.5,20.6,0.5,17.7,0,0,4.3,30.13695,9.61168,0.153422473,0.193162984,90.98340819,68.14759418
70,6075020100,0.347172209,0.18206661,0.836744407,0.074966887,0.084916201,25,66,3,99,97,37.7686074,-122.4200011,46.5,24.3,4.9,0.3,21.3,0,0.4,2.3,32.04223,8.50697,0.153395388,0.193088804,90.58212336,40.45171646
71,6075020200,0.544616768,0.130266789,0.835105068,0.079125034,0.0302391,39,82,5,99,97,37.7671163,-122.4241789,21.4,54.3,7.1,0.8,14.2,0.1,0.2,1.8,35.62266,8.3922,0.153388777,0.193071186,90.51629411,35.50978263
72,6075020300,0.691595991,0.032100489,0.919327731,0.070746528,0.011927181,86,97,9,99,96,37.7649411,-122.4294368,7.1,75.8,1,0,11.8,0,1.6,2.8,28.07321,9.03201,0.153381191,0.193049448,90.44866446,29.3393528
73,6075020401,0.765711843,0.046037736,0.921577947,0.045797923,0.013071895,78,99,24,98,96,37.7595166,-122.4434836,5.6,77.2,0.5,0,14.8,0,0,2,28.86761,10.09611,0.153359983,0.192990817,90.19610376,12.96423353
74,6075020402,0.638540796,0.070239843,0.824849826,0.081920904,0.004466098,64,87,20,98,96,37.7528357,-122.4444148,5.8,70.8,2.4,0,16.6,0,0.4,3.9,26.3101,10.15988,0.153374114,0.192996095,90.2483458,9.368708243
75,6075020500,0.690576653,0.066337042,0.835378323,0.045086705,0.017254314,66,96,11,99,96,37.7591285,-122.4370296,6.1,79.8,2,0.3,8.7,0,0,3,30.27954,10.13478,0.153376805,0.193021932,90.38536568,18.47548897
