USPS	GEOID	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                  
CA	06065045103	3623	2816	23060093	383373	       8.904	       0.148	 33.7425210	-116.4468892                                                                                                             
CA	06065045108	5726	2700	2698346	0	       1.042	       0.000	 33.7251085	-116.3737306                                                                                                                   
CA	06065045109	3831	1670	1465211	0	       0.566	       0.000	 33.6549641	-116.3122385                                                                                                                   
CA	06065045110	5401	1989	1665163	0	       0.643	       0.000	 33.6653271	-116.3111037                                                                                                                   
CA	06065045114	1939	1904	3053473	0	       1.179	       0.000	 33.6948260	-116.3865775                                                                                                                   
CA	06065045115	2026	1586	2319938	0	       0.896	       0.000	 33.7048238	-116.3871379                                                                                                                   
CA	06065045116	1492	1156	1302537	0	       0.503	       0.000	 33.7156735	-116.3969632                                                                                                                   
CA	06065045117	3969	2760	3570642	0	       1.379	       0.000	 33.7163278	-116.3757329                                                                                                                   
CA	06065045118	2762	1781	2760243	101074	       1.066	       0.039	 33.7348325	-116.3868788                                                                                                              
CA	06065045119	2811	1208	1918212	104580	       0.741	       0.040	 33.7324563	-116.3693669                                                                                                              
CA	06065045120	4580	2703	3849527	1137	       1.486	       0.000	 33.6834927	-116.3048264                                                                                                                
CA	06065045121	5457	4162	9745979	116510	       3.763	       0.045	 33.6933189	-116.2810566                                                                                                              
CA	06065045122	1427	1401	3315842	339463	       1.280	       0.131	 33.7187828	-116.3216036                                                                                                              
CA	06065045123	2356	1720	3213705	122058	       1.241	       0.047	 33.7257343	-116.3498865                                                                                                              
CA	06065045124	1505	1291	61698327	0	      23.822	       0.000	 33.6765145	-116.4287170                                                                                                                  
CA	06065045125	3017	3846	86104562	170660	      33.245	       0.066	 33.6569608	-116.3457042                                                                                                             
CA	06065045207	5014	1685	2020459	0	       0.780	       0.000	 33.7074307	-116.2405275                                                                                                                   
CA	06065045209	5441	1714	2028867	0	       0.783	       0.000	 33.7260991	-116.2381506                                                                                                                   
CA	06065045212	2293	1319	2682824	0	       1.036	       0.000	 33.7307350	-116.2611913                                                                                                                   
CA	06065045213	5216	2048	2920405	58300	       1.128	       0.023	 33.7142853	-116.2596224                                                                                                               
