tractid,lep_Spanish,lep_French,lep_French_creole,lep_Italian,lep_Portuguese,lep_German,lep_Yiddish,lep_O_westGermanic,lep_Scandinavian,lep_Greek,lep_Russian,lep_Polish,lep_SerboCroatian,lep_O_Slavic,lep_Armenian,lep_Persian,lep_Gujarati,lep_Hindi,lep_Urdu,lep_O_Indic,lep_O_Indo,lep_Chinese,lep_Japanese,lep_Korean,lep_Cambodian,lep_Hmong,lep_Thai,lep_Laotian,lep_Vietnamese,lep_O_Asian,lep_Tagalog,lep_O_Pacific,lep_Navajo,lep_O_NorthAmerican,lep_Hungarian,lep_Arabic,lep_Hebrew,lep_Africanlang,lep_O_Unspecified,POB_UK_exclu_EnglandScotland,POB_England,POB_Scotland,POB_Ireland,POB_Denmark,POB_Norway,POB_Sweden,POB_Other_Northern_Europe,POB_Austria,POB_Belgium,POB_France,POB_Germany,POB_Netherlands,POB_Switzerland,POB_Other_Western_Europe,POB_Greece,POB_Italy,POB_Portugal,POB_Spain,POB_Other_Southern_Europe,POB_Albania,POB_Belarus,POB_Bulgaria,POB_Croatia,POB_Czechoslovakia,POB_Hungary,POB_Latvia,POB_Lithuania,POB_Macedonia,POB_Moldova,POB_Poland,POB_Romania,POB_Russia,POB_Ukraine,POB_Bosnia_and_Herzegovina,POB_Yugoslavia,POB_Serbia,POB_Other_Eastern_Europe,POB_China_exclu_HK_Taiwan,POB_HongKong,POB_Taiwan,POB_Japan,POB_Korea,POB_Other_Eastern_Asia,POB_Afghanistan,POB_Bangladesh,POB_India,POB_Iran,POB_Kazakhstan,POB_Nepal,POB_Pakistan,POB_Sri_Lanka,POB_Uzbekistan,POB_Other_South_Central_Asia,POB_Cambodia,POB_Indonesia,POB_Laos,POB_Malaysia,POB_Burma,POB_Philippines,POB_Singapore,POB_Thailand,POB_Vietnam,POB_Other_South_Eastern_Asia,POB_Iraq,POB_Israel,POB_Jordan,POB_Kuwait,POB_Lebanon,POB_Saudi_Arabia,POB_Syria,POB_Yemen,POB_Turkey,POB_Armenia,POB_Other_Western_Asia,POB_Eritrea,POB_Ethiopia,POB_Kenya,POB_Other_Eastern_Africa,POB_Cameroon,POB_Other_Middle_Africa,POB_Egypt,POB_Morocco,POB_Sudan,POB_Other_Northern_Africa,POB_South_Africa,POB_Other_Southern_Africa,POB_Cape_Verde,POB_Ghana,POB_Liberia,POB_Nigeria,POB_Sierra_Leone,POB_Other_Western_Africa,POB_Australia,POB_other_AusNewzealand_sub,POB_Fiji,POB_Bahamas,POB_Barbados,POB_Cuba,POB_Dominica,POB_Dominican_Republic,POB_Grenada,POB_Haiti,POB_Jamaica,POB_StVincent_grenadines,POB_Trinidad_and_Tobago,POB_West_Indies,POB_Other_Caribbean,POB_Mexico,POB_Belize,POB_Costa_Rica,POB_El_Salvador,POB_Guatemala,POB_Honduras,POB_Nicaragua,POB_Panama,POB_Other_Central_America,POB_Argentina,POB_Bolivia,POB_Brazil,POB_Chile,POB_Colombia,POB_Ecuador,POB_Guyana,POB_Peru,POB_Uruguay,POB_Venezuela,POB_Other_South_America,POB_Canada,POB_Other_Northern_America,pct_ba,pct_poor_ns,lbrfrc_rate,runemply,pct_welfare,pov_idx,lbr_idx,haz_idx,tcost_idx,trans_idx,hh_tot_1_m_hus_pb,hh_white_1_m_hus_pb,hh_black_1_m_hus_pb,hh_amer_ind_1_m_hus_pb,hh_ai_pi_1_m_hus_pb,hh_hisp_1_m_hus_pb,hh_othr_race_1_m_hus_pb,hh_tot_husholds,hh_white_all,hh_black_all,hh_ai_pi_all,hh_amer_ind_all,hh_hisp_all,hh_othr_race_all,hh_tot_1_m_sv_hus_pb,hh_white_1_m_hus_pb_sv,hh_black_1_m_hus_pb_sv,hh_amer_ind_1_m_hus_pb_sv,hh_ai_pi_1_m_hus_pb_sv,hh_hisp_1_m_hus_pb_sv,hh_othr_race_1_m_hus_pb_sv,hh_hhsize_lt5_fam_1_m_pb,hh_hhsize_5m_fam_1_m_pb,hh_not_fam_1_m_pb,hh_hhsize_lt5_fam_tot,hh_hhsize_5m_fam_tot,hh_not_fam_tot,hh_white_severe_burden,hh_black_severe_burden,hh_hisp_severe_burden,hh_other_severe_burden,hh_ai_severe_burden,hh_ai_pi_severe_burden,hh_all_severe_burden,hh_size_lt5_fam_sev_burden,hh_not_fam_sev_burden,hh_size_5more_fam_sev_burden,hh_perc_1_m_hus_pb,hh_perc_white_1_m_hus_pb,hh_perc_black_1_m_hus_pb,hh_perc_ai_pi_1_m_hus_pb,hh_perc_amer_ind_1_m_hus_pb,hh_perc_hisp_1_m_hus_pb,hh_perc_othr_race_1_m_hus_pb,hh_perc_1_m_sv_hus_pb,hh_perc_white_1_m_hus_pb_sv,hh_perc_black_1_m_hus_pb_sv,hh_perc_ai_pi_1_m_hus_pb_sv,hh_perc_amer_ind_1_m_hus_pb_sv,hh_perc_hisp_1_m_hus_pb_sv,hh_perc_o_race_1_m_hus_pb_sv,hh_perc_hhsize_lt5_fam_1_m_pb,hh_perc_hhsize_5m_fam_1_m_pb,hh_perc_not_fam_1_m_pb,hh_perc_all_sev_burden,hh_perc_white_severe_burden,hh_perc_black_severe_burden,hh_perc_ai_pi_severe_burden,hh_perc_ai_severe_burden,hh_perc_hisp_severe_burden,hh_perc_other_severe_burden,hh_perc_hh_lt5_fam_sev_burden,hh_perc_hh_5more_fam_sev_burden,hh_perc_not_fam_sev_burden,Pop_with_disability_5_17,Pop_disability_18_64,Pop_Disability_over64,Total_Hear,Total_Vision,Total_Cognitive,Total_Ambulatory,Total_Self_Care,Total_Indep_Living,perc_disabled_age_5_17,perc_disabled_age_18_64,perc_disabled_age_over64,perc_Total_Hear,perc_Total_Vision,perc_Total_Cognitive,perc_Total_Ambulatory,perc_Total_Self_Care,perc_Total_Indep_Living,white_2000,black_2000,native_2000,asian_pi_2000,hisp_2000,white_1990,black_1990,native_1990,asian_pi_1990,hisp_1990,Male_2000,Female_2000,age_under18_2000,age_18_64_2000,age_over64_2000,Male_1990,Female_1990,age_under18_1990,age_18_64_1990,age_over64_1990,Fam_w_Children_2000,Fam_w_Children_1990,perc_white_2000,perc_black_2000,perc_native_2000,perc_asian_pi_2000,perc_hispanic_2000,perc_male_2000,perc_female_2000,perc_age_under18_2000,perc_age_18_64_2000,perc_age_over64_2000,perc_white_1990,perc_black_1990,perc_native_1990,perc_asian_pi_1990,perc_hispanic_1990,perc_male_1990,perc_female_1990,perc_age_under18_1990,perc_age_18_64_1990,perc_age_over64_1990,pct_Fam_w_Children_2000,pct_Fam_w_Children_1990,RCAP_10,RCAP_00,RCAP_90,pct_no_2010,pct_lep_2010,pct_no_2000,pct_lep_2000,pct_no_1990,pct_lep_1990,num_no_2010,num_lep_2010,num_no_2000,num_lep_2000,num_no_1990,num_lep_1990,USPS,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                  ,hispanic,white,black,american_indian,asian,pac_islander,other_races,two_races,hh_type1_h,hh_type1_t
6075013200,0,23,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,45,27,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,27,9,0,13,0,0,0,0,0,0,29,62,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,24,0,0,44,50,0,0,0,32,49,0,0,0,23,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,0,0,0,0,0,0,11,0,16,0,0,0,0,0,0,0,0,0,0,54,0,0.792542753,0.027641931,0.792235047,0.071261682,0.011940299,88,94,8,99,97,950,850,10,0,45,30,20,2390,2055,40,160,0,65,80,580,520,0,0,35,0,20,410,55,485,970,95,1325,525,0,0,20,0,35,580,310,240,20,39.74895398,41.36253041,25,28.125,,46.15384615,25,24.26778243,25.30413625,0,21.875,,0,25,42.26804124,57.89473684,36.60377359,24.26778243,25.54744526,0,21.875,,0,25,31.95876289,21.05263158,18.11320755,0,41,237,189,80,103,166,70,84,0,0.99081682,5.727404543,4.567423876,1.933301112,2.489125181,4.011599807,1.691638473,2.029966167,3772,58,19,434,135,3813,28,2,315,149,2205,2231,553,3283,600,2057,2263,419,3172,729,302,216,85.03155996,1.30748422,0.428313796,9.783588819,3.043282236,49.70694319,50.29305681,12.46618575,74.00811542,13.52569883,88.26388889,0.648148148,0.046296296,7.291666667,3.449074074,47.61574074,52.38425926,9.699074074,73.42592593,16.875,32.79044517,24.08026756,0,0,0,16.45843345,3.844305622,16.9522092,3.516681695,13.56481482,5.046296296,685,160,752,156,586,218,CA,4162,2590,546680,0,0.211,0,37.7936676,-122.4387455,4.2,80.5,0.5,0.2,10.8,0,1.2,2.6,41.0243,10.20218
6075013300,39,45,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,11,9,0,15,8,0,0,0,0,0,73,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,29,0,0,0,0,147,39,0,0,8,0,0,0,9,0,16,0,0,0,0,0,0,0,0,10,0,33,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0.747855918,0.021085925,0.800572519,0.039584364,0.012987013,92,96,10,98,95,610,440,0,0,140,25,4,1860,1435,10,280,0,105,29,225,180,0,0,45,0,0,170,40,400,675,160,1025,165,0,0,0,0,45,210,45,154,10,32.79569893,30.66202091,0,50,,23.80952381,13.79310345,12.09677419,12.54355401,0,16.07142857,,0,0,25.18518519,25,39.02439024,11.29032258,11.49825784,0,16.07142857,,0,0,6.666666667,6.25,15.02439024,0,141,322,219,105,194,260,161,214,0,3.574144487,8.162230672,5.551330799,2.661596958,4.917617237,6.590621039,4.081115336,5.424588086,3553,49,17,394,109,3383,106,9,383,160,1902,2243,697,2795,653,1843,2205,571,2893,584,359,370,85.71773221,1.182147165,0.41013269,9.505428227,2.629674306,45.88661037,54.11338963,16.81544029,67.43063932,15.75392039,83.5514942,2.617930353,0.222277106,9.45912571,3.951592986,45.52865613,54.47134387,14.10573123,71.4673913,14.42687747,39.71238938,39.74221268,0,0,0,12.5,7.986767486,13.43787696,7.117008444,17.02075099,7.682806324,529,338,557,295,689,311,CA,4232,2090,581310,0,0.224,0,37.7887307,-122.4524293,3.4,79.4,0.9,0,11.2,0.3,0,4.7,41.17629,11.08217
6075013400,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,86,21,0,23,11,0,0,30,0,0,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,4,4,12,39,0,0,0,41,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,48,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,41,0,0.842465753,0.059025609,0.903500898,0.009413778,0,70,99,8,99,96,455,340,40,0,10,20,45,1840,1430,65,130,0,125,90,170,120,40,0,0,10,0,90,15,345,435,40,1360,120,40,10,0,0,0,170,15,155,0,24.72826087,23.77622378,61.53846154,7.692307692,,16,50,9.239130435,8.391608392,61.53846154,0,,8,0,20.68965517,37.5,25.36764706,9.239130435,8.391608392,61.53846154,0,,8,0,3.448275862,0,11.39705882,0,74,139,76,105,75,127,61,102,0,2.190645352,4.114860864,2.249851983,3.108348135,2.220248668,3.759621078,1.80580225,3.019538188,3006,113,14,377,140,2989,208,5,267,155,1728,1937,286,3029,350,1799,1897,268,2987,441,196,167,82.01909959,3.083219645,0.381991815,10.28649386,3.819918145,47.14870396,52.85129604,7.803547067,82.64665757,9.549795362,82.27360308,5.725295899,0.137627305,7.349298101,4.266446463,48.67424242,51.32575758,7.251082251,80.81709957,11.93181818,32.77591973,28.06722689,0,0,0,13.61489303,1.639344262,10.99590723,2.07366985,10.47077922,3.841991342,490,59,403,76,387,142,CA,3599,2180,354173,0,0.137,0,37.789849,-122.440799,5.7,81.4,4.9,0,5.3,0,0,2.7,35.68215,9.66443
6075013500,10,10,0,0,0,0,0,0,0,0,18,0,0,0,0,20,0,0,0,0,0,59,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33,0,0,0,16,11,0,0,0,0,17,0,0,0,0,0,0,8,0,0,0,0,13,0,0,0,0,0,0,11,0,41,0,0,0,0,0,29,11,8,0,75,0,0,0,0,30,0,0,0,0,0,0,0,0,0,16,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,18,0,0.838546069,0.069193964,0.858375635,0.067945206,0,65,98,9,99,97,535,460,0,0,29,35,4,1745,1345,35,203,0,125,28,250,245,0,0,0,10,0,95,20,420,365,20,1355,200,0,10,0,0,0,210,35,173,0,30.65902579,34.20074349,0,14.28571429,,28,14.28571429,14.32664756,18.21561338,0,0,,8,0,26.02739726,100,30.99630996,12.03438395,14.86988848,0,0,,8,0,9.589041096,0,12.76752768,6,85,83,27,10,46,114,63,68,0.23464998,3.324208056,3.245991396,1.055924912,0.391083301,1.798983183,4.458349629,2.463824795,2.659366445,2120,56,16,340,110,2120,57,6,265,83,1276,1440,260,2111,345,1020,1451,150,2028,293,114,106,79.51987997,2.100525131,0.600150038,12.7531883,4.126031508,46.9808542,53.0191458,9.572901326,77.72459499,12.70250368,83.62919132,2.24852071,0.236686391,10.45364892,3.274161736,41.27883448,58.72116552,6.070416835,82.07203561,11.85754755,27.40384615,25.35885168,0,0,0,18.54460094,4.968701096,18.66715759,6.77466863,16.79481991,6.839336301,474,127,507,184,415,169,CA,2556,1857,235184,0,0.091,0,37.7908976,-122.4325551,6.9,76.8,1.3,0,13.2,0,0.4,1.4,35.55671,8.85832
6075015100,69,10,0,0,0,0,0,0,0,0,55,0,12,0,0,0,0,0,0,0,0,125,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,23,11,0,0,0,0,8,24,9,0,0,0,0,10,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,55,0,0,0,0,152,43,40,25,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,57,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,23,0,0,95,0,0,0,66,0,0.668686869,0.029683698,0.934065934,0.053670087,0.012755102,87,98,2,99,97,585,415,15,0,128,0,10,1550,979,25,398,0,69,55,365,260,0,0,94,0,10,75,0,510,265,0,1290,250,0,0,10,0,100,360,34,315,0,37.74193548,42.39019408,60,32.16080402,,0,18.18181818,23.5483871,26.55771195,0,23.61809045,,0,18.18181818,28.30188679,,39.53488372,23.22580645,25.53626149,0,25.12562814,,0,18.18181818,12.83018868,,24.41860465,0,38,311,91,63,98,134,55,218,0,1.930894309,15.80284553,4.62398374,3.201219512,4.979674797,6.808943089,2.794715447,11.07723577,1615,68,9,570,129,1149,108,13,392,131,1009,1341,43,1590,717,952,905,67,1336,454,48,53,66.73553719,2.809917355,0.371900826,23.55371901,5.330578512,42.93617021,57.06382979,1.829787234,67.65957447,30.5106383,64.01114206,6.016713092,0.724233983,21.83844011,7.298050139,51.26548196,48.73451804,3.607969844,71.94399569,24.44803446,13.67521368,23.98190045,0,0,0,31.48816687,11.55234657,32.21276596,14.76595745,32.79483037,18.3091007,785,288,757,347,609,340,CA,2493,1904,174315,0,0.067,0,37.7874457,-122.4234011,6.7,62.2,1.1,0,26.7,0,0.4,3,35.22174,8.09376
6075015200,46,28,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,184,49,0,0,0,82,0,8,0,0,0,0,0,0,15,0,0,0,32,74,0,11,0,0,15,0,15,0,0,44,0,0,0,0,36,0,19,0,0,21,0,0,0,0,0,0,0,0,0,0,84,72,0,0,0,8,159,0,24,53,35,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,34,16,101,30,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,17,0,21,0,0,0,0,40,0,0,0,24,0,0.691190108,0.081621622,0.919354839,0.02685624,0.013918178,59,99,8,99,97,925,475,45,0,340,60,15,2335,1365,45,700,0,210,15,510,225,45,0,210,40,0,190,0,735,540,0,1790,195,45,25,0,0,205,470,100,370,0,39.61456103,34.7985348,100,48.57142857,,28.57142857,100,21.84154176,16.48351648,100,30,,19.04761905,0,35.18518519,,41.06145251,20.12847966,14.28571429,100,29.28571429,,11.90476191,0,18.51851852,,20.67039106,0,35,440,184,89,245,395,241,332,0,0.972222222,12.22222222,5.111111111,2.472222222,6.805555556,10.97222222,6.694444444,9.222222222,2526,206,18,908,162,2213,267,12,864,166,1863,1994,187,2853,817,1675,1743,144,2693,581,122,102,65.49131449,5.340938553,0.466683951,23.54161265,4.200155561,48.30178896,51.69821105,4.848327716,73.96940627,21.18226601,62.72675737,7.568027211,0.340136054,24.48979592,4.70521542,49.00526624,50.99473376,4.212990053,78.78876536,16.99824459,21.10726644,17.73913044,0,0,0,27.91052364,14.08235892,29.47886959,16.25615764,23.90286717,11.41018139,1098,554,1137,627,817,390,CA,3934,2624,279195,0,0.108,0,37.7879139,-122.4302666,7.5,69.9,1.5,0,20.4,0,0,0.7,35.70921,8.56188
6075015300,19,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,31,0,8,9,0,0,0,0,0,0,28,0,0,6,0,0,26,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,18,27,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0.676691729,0.040786241,0.877225292,0.079436259,0.024948025,81,94,10,99,95,460,290,60,0,35,49,18,950,649,95,95,0,74,28,320,180,60,0,35,39,4,90,0,370,280,4,660,150,60,39,4,0,35,288,70,219,0,48.42105263,44.68412943,63.15789474,36.84210526,,66.21621622,64.28571429,33.68421053,27.73497689,63.15789474,36.84210526,,52.7027027,14.28571429,32.14285714,0,56.06060606,30.31578947,23.11248074,63.15789474,36.84210526,,52.7027027,14.28571429,25,0,33.18181818,27,83,26,23,0,94,67,48,48,1.386748844,4.26296867,1.335387776,1.181304571,0,4.827940421,3.441191577,2.465331279,2.465331279,1376,284,17,286,113,1245,450,4,214,91,1089,1045,127,1611,396,992,1063,154,1531,370,87,97,65.08987701,13.43424787,0.804162725,13.52885525,5.345316935,51.03092784,48.96907217,5.95126523,75.49203374,18.55670103,61.97112992,22.39920358,0.199104032,10.6520657,4.529616725,48.27250608,51.72749392,7.493917275,74.50121655,18.00486618,31.40794224,32.55033557,0,0,0,11.32352941,4.264705882,16.63542643,7.591377695,19.6593674,11.92214112,231,87,355,162,404,245,CA,2040,1051,233719,0,0.09,0,37.7867618,-122.4393346,9.1,61.6,15,0,12.9,0,0,1.4,37.30618,10.01394
6075015400,158,11,0,0,0,0,0,0,0,0,86,0,11,21,0,0,0,0,0,0,0,103,46,23,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,52,0,18,31,0,0,16,0,0,0,14,57,0,0,0,15,14,0,0,0,0,0,0,0,33,22,0,0,0,0,0,0,41,74,0,0,0,0,128,43,0,146,38,15,0,0,11,0,0,0,0,0,0,0,0,31,0,0,0,91,32,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,16,0,0,0,0,0,0,0,0,40,0,0,0,0,38,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,119,0,0.735733099,0.027148508,0.86122339,0.05887372,0.012876991,88,97,11,98,96,1105,565,35,0,390,100,15,2905,1805,55,780,0,160,105,680,350,0,0,260,50,15,185,55,865,785,120,2000,340,0,50,15,0,240,645,65,530,45,38.03786575,31.30193906,63.63636364,50,,62.5,14.28571429,23.40791738,19.39058172,0,33.33333333,,31.25,14.28571429,23.56687898,45.83333333,43.25,22.20309811,18.8365651,0,30.76923077,,31.25,14.28571429,8.280254777,37.5,26.5,10,248,378,198,194,292,449,219,373,0.179920835,4.462036704,6.801007557,3.56243253,3.490464196,5.253688377,8.078445484,3.940266283,6.711047139,3731,318,26,1325,312,3381,494,15,1292,264,2823,2907,685,4285,760,2362,3091,677,3961,815,372,348,64.75182228,5.518917043,0.451232211,22.99548768,5.414786533,49.26701571,50.73298429,11.95462478,74.78184991,13.26352531,61.99119912,9.057572424,0.275027503,23.68903557,4.840484048,43.31560609,56.68439391,12.4151843,72.63891436,14.94590134,33.69565217,31.49321267,0,0,0,22.5226828,8.574986657,22.54799302,9.65095986,24.77535302,11.79167431,1266,482,1292,553,1351,643,CA,5621,3088,719856,0,0.278,0,37.7843608,-122.4510358,7.3,60.8,2.8,0,25.7,0,0.2,3.3,35.24775,10.18425
6075015500,86,0,0,0,0,7,0,0,0,0,19,0,0,0,0,30,0,0,0,0,0,72,202,336,64,0,0,0,0,0,104,0,0,0,0,0,0,0,0,99,14,0,12,0,0,0,0,20,0,11,93,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,21,0,5,5,0,146,6,12,176,361,0,0,0,0,30,0,0,0,0,0,0,64,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,19,0,0,10,0,85,60,0,0,0,0,0,0,0,7,0,0.484099943,0.092326733,0.661757938,0.081130916,0.043168669,54,46,8,99,97,1225,610,185,0,325,85,15,2400,1270,270,670,0,130,60,615,310,110,0,175,15,0,305,60,860,610,80,1705,195,50,15,0,0,115,375,35,345,0,51.04166667,48.03149606,68.51851852,48.50746269,,65.38461539,25,25.625,24.40944882,40.74074074,26.11940299,,11.53846154,0,50,75,50.4398827,15.625,15.35433071,18.51851852,17.1641791,,11.53846154,0,5.737704918,0,20.23460411,0,345,419,259,144,258,442,123,328,0,9.439124487,11.46374829,7.086183311,3.939808482,7.058823529,12.09302326,3.365253078,8.974008208,1594,647,16,1109,196,1352,992,6,1016,130,1531,2092,280,2063,1280,1468,2040,432,1926,1150,158,187,44.38874965,18.01726539,0.44555834,30.88276246,5.458089669,42.25779741,57.7422026,7.728401877,56.94176097,35.32983715,38.57346648,28.30242511,0.171184023,28.9871612,3.708987161,41.84720639,58.15279362,12.31470924,54.90307868,32.78221209,28.72727273,28.76923077,0,0,0,44.61623413,25.40033131,34.63980127,18.18934585,31.15735462,19.49828962,1616,920,1255,659,1093,684,CA,3622,2441,312624,0,0.121,0,37.7850923,-122.434135,14.6,40.6,6.6,0.3,36.5,0,0.7,0.6,28.18291,8.19765
6075015600,0,0,0,10,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,10,96,47,0,0,0,8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,11,0,0,21,37,0,0,0,0,95,53,16,70,16,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,0,18,0,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,11,0,0.622734761,0.046779417,0.894865526,0.044994944,0.018714402,77,97,19,98,96,440,230,4,0,133,35,34,1250,690,23,398,0,60,79,170,100,0,0,18,25,19,140,24,280,460,44,750,100,0,25,20,0,25,170,47,114,0,35.2,33.33333333,17.39130435,33.41708543,,58.33333333,43.03797468,13.6,14.49275362,0,4.522613065,,41.66666667,24.05063291,30.43478261,54.54545455,37.33333333,13.6,14.49275362,0,6.281407035,,41.66666667,25.3164557,10.2173913,0,15.2,0,158,147,88,68,164,190,59,160,0,5.536089699,5.150665732,3.083391731,2.382620883,5.746320953,6.657323055,2.067274001,5.606166784,1544,108,13,967,164,1483,114,6,1000,174,1361,1460,310,2228,283,1354,1435,322,2161,306,170,198,54.73236441,3.828429635,0.460829493,34.2786246,5.813541297,48.24530308,51.75469692,10.98901099,78.97908543,10.03190358,53.11604585,4.083094556,0.214899714,35.81661891,6.232091691,48.54786662,51.45213338,11.54535676,77.48296881,10.97167444,33.93213573,35.5475763,0,0,0,17.96187683,9.494134897,28.74867068,15.91634172,32.48476156,17.28217999,490,259,811,449,906,482,CA,2728,1400,293492,0,0.113,0,37.7782427,-122.4564254,4.3,47.7,4.1,0,36.2,1,0,6.7,31.78474,10.16844
